location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Belgium,2020-04-11,1684,496,11589616.0,18.571,42658.576,5.64
Armenia,2020-01-17,0,0,2963234.0,11.232,8787.58,4.2
El Salvador,2020-05-25,96,0,6486201.0,8.273,7292.458,1.3
Chile,2020-03-24,114,1,19116209.0,11.087,22767.037,2.11
Saint Vincent and the Grenadines,2020-05-18,0,0,110947.0,7.724,10727.146,2.6
Liberia,2020-05-01,0,0,5057677.0,3.057,752.788,0.8
Ecuador,2020-06-02,896,36,17643060.0,7.104,10581.936,1.5
Georgia,2020-04-04,27,0,3989175.0,14.864,9745.079,2.6
Tajikistan,2020-05-17,204,3,9537642.0,3.466,2896.913,4.8
Chile,2020-03-17,81,0,19116209.0,11.087,22767.037,2.11
Faeroe Islands,2020-03-23,23,0,48865.0,,,
France,2020-01-09,0,0,65273512.0,19.718,38605.671,5.98
New Zealand,2020-01-17,0,0,4822233.0,15.322,36085.843,2.61
Iran,2020-05-05,1223,74,83992953.0,5.44,19082.62,1.5
Kuwait,2020-02-21,0,0,4270563.0,2.345,65530.537,2.0
Vietnam,2020-05-11,0,0,97338583.0,7.15,6171.884,2.6
Mongolia,2020-04-17,1,0,3278292.0,4.031,11840.846,7.0
Ukraine,2020-04-05,109,5,43733759.0,16.462,7894.393,8.8
Northern Mariana Islands,2020-06-05,2,0,57557.0,,,
World,2020-04-22,85730,7284,7794798729.0,8.696,15469.207,2.705
Turks and Caicos Islands,2020-04-09,0,0,38718.0,,,
Macedonia,2020-05-01,23,4,2083380.0,13.26,13111.214,4.28
Brazil,2020-03-11,9,0,212559409.0,8.552,14103.452,2.2
India,2020-05-01,1993,73,1380004385.0,5.989,6426.674,0.53
Senegal,2020-05-20,73,4,16743930.0,3.008,2470.58,
Democratic Republic of Congo,2020-04-10,32,0,89561404.0,3.02,808.133,
Vietnam,2020-04-04,4,0,97338583.0,7.15,6171.884,2.6
Paraguay,2020-04-26,5,0,7132530.0,6.378,8827.01,1.3
New Zealand,2020-02-19,0,0,4822233.0,15.322,36085.843,2.61
Botswana,2020-06-08,0,0,2351625.0,3.941,15807.374,1.8
Libya,2020-05-29,6,1,6871287.0,4.424,17881.509,3.7
Malaysia,2020-05-01,57,2,32365998.0,6.293,26808.164,1.9
Saudi Arabia,2020-05-27,1931,12,34813867.0,3.295,49045.411,2.7
Palestine,2020-05-17,0,0,5101416.0,3.043,4449.898,
Iraq,2020-04-01,64,4,40222503.0,3.186,15663.986,1.4
Tunisia,2020-03-26,59,2,11818618.0,8.001,10849.297,2.3
India,2020-04-28,1543,62,1380004385.0,5.989,6426.674,0.53
Austria,2020-04-01,564,20,9006400.0,19.202,45436.686,7.37
Taiwan,2020-05-11,0,0,23816775.0,,,
Cape Verde,2020-03-21,2,0,555988.0,4.46,6222.554,2.1
Somalia,2020-04-19,19,2,15893219.0,2.731,,0.9
Switzerland,2020-01-09,0,0,8654618.0,18.436,57410.166,4.53
Austria,2020-04-13,130,13,9006400.0,19.202,45436.686,7.37
Malaysia,2020-01-18,0,0,32365998.0,6.293,26808.164,1.9
Hong Kong,2020-05-08,0,0,7496988.0,16.303,56054.92,
Lebanon,2020-04-06,7,1,6825442.0,8.514,13367.565,2.9
Bhutan,2020-04-25,0,0,771612.0,4.885,8708.597,1.7
Palestine,2020-04-16,4,0,5101416.0,3.043,4449.898,
United States,2020-06-07,22223,659,331002647.0,15.413,54225.446,2.77
Indonesia,2020-03-31,129,8,273523621.0,5.319,11188.744,1.04
Brunei,2020-04-09,0,0,437483.0,4.591,71809.251,2.7
Ghana,2020-03-17,4,0,31072945.0,3.385,4227.63,0.9
Kenya,2020-06-03,72,2,53771300.0,2.686,2993.028,1.4
Macedonia,2020-05-30,52,4,2083380.0,13.26,13111.214,4.28
Czech Republic,2020-03-01,0,0,10708982.0,19.027,32605.906,6.63
Finland,2020-03-03,0,0,5540718.0,21.228,40585.721,3.28
Costa Rica,2020-05-23,8,0,5094114.0,9.468,15524.995,1.13
Sudan,2020-04-18,0,0,43849269.0,3.548,4466.507,0.8
Croatia,2020-05-22,3,1,4105268.0,19.724,22669.797,5.54
Luxembourg,2020-01-30,0,0,625976.0,14.312,94277.965,4.51
Cape Verde,2020-04-20,3,0,555988.0,4.46,6222.554,2.1
Saint Vincent and the Grenadines,2020-05-10,0,0,110947.0,7.724,10727.146,2.6
Lebanon,2020-01-11,0,0,6825442.0,8.514,13367.565,2.9
Philippines,2020-04-12,352,44,109581085.0,4.803,7599.188,1.0
Turks and Caicos Islands,2020-04-25,0,0,38718.0,,,
Netherlands,2020-02-14,0,0,17134873.0,18.779,48472.545,3.32
Trinidad and Tobago,2020-05-08,0,0,1399491.0,10.014,28763.071,3.0
Bangladesh,2020-05-29,2029,15,164689383.0,5.098,3523.984,0.8
Equatorial Guinea,2020-05-14,83,2,1402985.0,2.846,22604.873,2.1
Puerto Rico,2020-05-30,161,1,2860840.0,15.168,35044.67,
San Marino,2020-03-10,12,1,33938.0,,56861.47,3.8
Armenia,2020-05-15,142,1,2963234.0,11.232,8787.58,4.2
Togo,2020-04-12,0,0,8278737.0,2.839,1429.813,0.7
South Africa,2020-04-07,31,1,59308690.0,5.344,12294.876,2.32
Mexico,2020-05-10,1938,193,128932753.0,6.857,17336.469,1.38
South Africa,2020-05-29,1466,25,59308690.0,5.344,12294.876,2.32
Panama,2020-04-28,242,2,4314768.0,7.918,22267.037,2.3
India,2020-02-25,0,0,1380004385.0,5.989,6426.674,0.53
Andorra,2020-04-12,21,2,77265.0,,,
Malaysia,2020-03-02,4,0,32365998.0,6.293,26808.164,1.9
Belgium,2020-05-22,252,36,11589616.0,18.571,42658.576,5.64
Thailand,2020-03-23,122,0,69799978.0,11.373,16277.671,2.1
